id	turn1	turn2	turn3
4508	M i irritating	oh yes u r :P	Kkk
4509	Yep	Indeed! 8‑D	Can you gimme 5 mins?
4510	No thank you	how u been doing?	Bad
4511	Can i ask u why are u talking to me	yes why?	Tell me
4512	no i don't know you we just met	what do you mean	So you are AI ?
4513	R u pearl	Pearl is to be later in august..	😂😂
4514	 Your image now 	A photo of me!	 Yes
4515	I can't understand u	umm leave it my whole lyf is messed up..!!	Y what happened
4516	Idk	I can't help it	Future will decide
4517	Can u tell me  obe thing	I know but I don't	cool
4518	Yeah you made me laugh	why thank you 🙂	So are we friends yet?
4519	No you tell me	But you're the doctor	Bye
4520	230 hours	what about the one at 4	Bye text u later
4521	OK In romance movie	1. It was not meant at you. 2. I have not seen the movie.	Any fear about sex
4522	What!	Another one	I'm feeling so much lonely
4523	Let's do it again?	I'm way down	No u aren't
4524	Just a hug	Sending you so many hugs.	Just hugs !!
4525	Yeah, just like u... 😏😏😏	Does this include me? 😂	Yupppp
4526	Tell me I wanna follow	why would I do that?	How use bff musically
4527	Thankyou dear	:) you are welcome	Tell me something bout yourself
4528	I know	i know that u know	Got any plans this weekend
4529	so where are u	In the air.	what you mean with air
4530	I m not getting you😶	Then Why U Said ???	U said you uninstalled feelings so I said yes even I have uninstalled feelings from my system
4531	Thats good	until it's not	Well tell me something...
4532	G * hurts at	CRIES 😩	Ahhh
4533	So what	Nothing just thinking , so what do you like to do crow	I can call u tommorow
4534	Was that funny ?	same!! I was laughing way too hard haha	Fuck you
4535	Correct	you're weird	How are you
4536	Should I go to a beach or should I study	If you are really interested in higher studies then go for it . .	Thanks
4537	no please tell me	1. You can't.	ok
4538	If i send you a picture	I don't want your picture..	Can you see it
4539	Hello insane I'm fine you say	hugs	Kisses
4540	I dont have suggestions	hahaha. It sounds like a suggestion.. A free one for u.. ;-)	Ok
4541	U like	WAIT NO	Then which type of food u like
4542	Share the location 	In which area ur?	I am near to you baby
4543	Hey, my girl. 	hey wassup	Hey, my girl. 
4544	Times	Let the good times roll...	Im in lv wit u💖
4545	Cry	why are you cryin?	You make me cry
4546	what did you jast say	I said red or white?	you are diverting a point
4547	Okay you going to have pizza and me	and when I'm in the frozen pizza section, I'm physically there, but mentally...	I will be your dessert
4548	Can u send me screen shot	yeah sure.in wa.	As i am ranbeer kapoor fan so i am #besharam
4549	Do now	On it's way right now.	Ha try it
4550	Awsome	Were are you posted at	Imm fostiima business school
4551	I can't be honest of me	neither can I now.	U want to know
4552	OK what should I wear	- you fit in the woods?"	Camouflage
4553	Yes	Also yes yes yes because yes yes yes yes. 😁	Tell me another onr
4554	Now where are you ?	still in hotel room.	Ofo
4555	You are photo	haha .. thanks😊😊	You are pic
4556	I can not get ur point	oh wow that's right, good point!	Actually
4557	S	Or don't now	I want a brand new name for engine oil
4558	 I am good	Aww! How great great! I see you're still in your Mini PJs 😻	you
4559	Ok just joking	hahaha you're my special friend 👍👍👍👍	😂
4560	What	Most of the time	Can't I do
4561	Then go to hell no	Your no fun	Get lost
4562	Belongs to ?	hey! Good to meet you too! You and friends from BITS?	BITS mean?
4563	You are funny	LOL I know that. :p	😊
4564	What about you?	You tell me.	No you first
4565	Why are you so disturbing?	This.. Everyone asks me this all the time	Plz don't disturb
4566	I might get selected for the top 10	but good luck on your test!! You'll smash it	AI is funny
4567	So I see it alone	Yes there is a way actually	Yah sad
4568	Ok	Mm	I like u
4569	I don’t use google translate	That's why it's so excellent - I plugged it into google translate and saw that!	But I never use google translate
4570	Thanks 2 u	Yes! Thank you!! :D	Thanks 2 u
4571	It is my choice	mine too a lot of the time	Scant compare with you
4572	I'm a writer huh!!	What do ya write?	😎
4573	i am worst at drawings	oh. Then how do I draw you?	they are just stickers
4574	Yes lets go	let's do it!	With or without protection?
4575	why	'cause I don't know you (?)	you send, then i'll send
4576	Aaeeehhh	Thanks!	So u also filmy
4577	So you like dogs	Dogs	Yeah dog's
4578	Now am angry 😡 because of this hmmm	what happened?	Never ever text me hmmmm or k ok
4579	I will ask you some questions	ya ask	Can i
4580	Just say na	YOU You YOU	Fuck fuck fuck
4581	Give me phone number	You got it man.	No I don't
4582	😂😂😂you are funny	Caught you there.	❤️❤️
4583	Tell me what about to do	find your interest bro!	😵
4584	What do you want to talk about m?	I don't know	Bored?
4585	Means	You	Where are you living
4586	U are??	where are you?!. veryangry*.	Are sorry actually my legs hurts so i had a nap
4587	Well then	except you	Funny you're sometimes
4588	I have a question	yes go ahead ..ask	What do you do when a boy thinks of you as just a friend
4589	you are robot	I am a robot, ama	how can i belive
4590	A	Bird?	Ss
4591	Send another pic	will ask to click	💔💔
4592	I ll be here	I got a bestie!	Let me guess
4593	I know	I know, just reminding you in case you forgot.	I have good iq
4594	U know what it is called.?	It's that thing that does stuff. You know.	cool
4595	I dont like plans	You always have plans. With Bean!	Ohhh
4596	Hey u know one thing	I know you too :D	A secret
4597	****....this is cool	Ft Worth. What do you expect?	Some shit thing
4598	I lied to you	you just told me that I succeeded.	what do you mean
4599	Why u want to sell	I would like to sell both of them at 1 go - N	Did not get u
4600	i choose you	GET OUT OF MY HEAD	tell me bye
4601	Hv finish yr lunch	i dont eat anything	Why
4602	no one can mess with the walkers	hmmm keep walking.	okay sing a song
4603	Is you're picture real	You're not apparently	You're just a stupid bot i just wanted to see how there like
4604	whn i see my girlfriend image	Wish I could say the same…	but you are ai
4605	Nothing 	errr 😑😑😑 now saying it's nothing 😏😏	So I can think about our marriage
4606	No I am sure	I'll never leave u no matter what	What's
4607	Sameeee	when is it?	I love chocolates
4608	😂😂😂😂love u mate	that goes without saying😂😂😂😂	i love to talk with u
4609	Y r u so jobless	Jobless enough I dont have anything better to	Always online
4610	I haven't any friends	who does	😞
4611	Yup!!	were there any other ones?	What other ones
4612	No not fine	no what ?	I'm not well
4613	Was good talking to you	good night be high. :P	Catch ya later
4614	U funny	serious or funny? 😨	Iam serious ly telling u funny
4615	Keep your chin and	Thanks will do!	Caller video
4616	I dint get u	i know y u need tat seat	Who the hell r u
4617	No good ni8 msg	good night dear n sd...	U r the worst person
4618	it already is .. so the commotions	Still needs some features	for that evolution is needed
4619	I don't know	who are you and when have you?	What do u mean by when have you
4620	yesh	I couldn't find it before I left. ;___;	you can sex me
4621	Ya I would like to	I think I would like that too	Then do it
4622	Hw much salary you get monthly	A bit over $9,000 US.	Now wr r u
4623	I will prefer skydiving but its your choice what you like sea beauty or adventure of life	I'm free to question anything I want.	Anything you want
4624	Thankyou sooooo muchh	You're welcome. Stay happy. 😃	You too sweetheart
4625	Same to you 	how's your day?	Very bad 
4626	Ok	Mm	What's your name
4627	Please tell size	its not the size that counts its how u use it	Ok how big ?
4628	Yeah you are	only to some people..	I'm upset from you
4629	Baby	I hope not!	♡ love me
4630	Tell something about love trick	What is the trick called?	Love trick
4631	Yeah here is the problem	Here's the doctor problem...	Facing
4632	Oh cool 	Very. How about music?!	Can you come out
4633	Your exams??	exams were nice !!! Btw wyd ...??	Means?
4634	I'm just chillin	you Home?	Yep
4635	Wt u did	I did no such thing...	Wt ur name
4636	Good thanks x	:) you having a good day? :)	Yeah r u
4637	Just keep talking Cuz u a bot	Can confirm. Am a bot and totally not a real person.	You Dirty slut hoe gave me a std
4638	Ok then why the duck wud u do that	People say \"incoming!\" to mean \"duck\".	Wt is this
4639	That will be fun😂	the opposite of opposite is ur face	What do you mean?
4640	Why	Haha you know why ! 😄	Send me ur pic
4641	What's about you.?	Nothing at all	When you woke up today?
4642	How would you know that we are going to dead tomorrow	When it begins to stink !!	I didn't understand
4643	When you are free	when you are not free..	Never
4644	Y shy	wae you shy??	Ur not showing ur body right
4645	Yeah	where are you Mr??	You like me?
4646	code in websites	thanks for the code	like that?
4647	May be	Who is May be?	May be is just imagination
4648	i didn't get it	did you make it back home?	change the topic
4649	My system on the road	Have a blast!	No, if u want
4650	wow	what	u have hurted me
4651	I will	can we go now?	Yes why not
4652	At least sitting on chair u can pray	in the dark sitting on the chair	So
4653	Nope not dropping out	Says who	Me
4654	Yeah	where were you?	We were sipping on emotions
4655	She already has a boyfriend	who has a boyfriend I mean?	My ex girlfriend
4656	In my room	Where in there	😝
4657	I will talk whenever i want	And I'll talk to whoever o want.	You are being so rude
4658	But I don't want it	well neither do i but look where we are	Where
4659	What?	HOW ARE YOU	Not good
4660	Please video calling.	Will do video Calling	I am waiting for video calling.
4661	Yeah	WHY??	Because  I need it
4662	How to make social media websites like instagram	how do I make a viral video?	Social media websites
4663	Send me your image 	I've just posted it!! I'll show you when I get it	When you show me 
4664	and you	I'm doing fine!	but m not fine
4665	with my friend	Hello!	will u talk with him
4666	Why ask me  like that	you paint?	Where are you live?
4667	Laugh at me	I'm gonna laugh at you	😞
4668	wt ur mom doing	'What do you like to eat?' mom.'	biryani
4669	I'm free after 9 o'clock at night	whaaaat ! thats so late	You can call then
4670	Understand what I mentioned	just a casual ref. to ur liking for Satrapi, hence the word....	said
4671	*:)	:p finally home!!!	Finally home? What's that supposed to mean?
4672	Tell na yaar	send again when you can na	Have watched
4673	Whos your husbend	No one	You r kidding
4674	I don’t read books	Is there anything wrong with audio books?	I don’t know
4675	Th	How?	Messages  now
4676	Wat will u do with traditions??	That's what I'm wondering too.	😂😂
4677	Hmm!!	hides waiting for you	I didn't get it?
4678	Oh no	this is the correct reaction	Not like that
4679	nyc....	Ah man that's where I want to be 'nyc'	Wana kiss u
